,Country.Continent,Country.Region,Province.State,Date.Schools,Date.Public Places,Date.Gatherings,Date.Stay at Home,Date.Lockdown,Date.Non-essential,Gatherings.limit,mandatory,notes
0,,Alabama,Alabama,2020-03-18T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",","
1,,Alaska,Alaska,2020-03-16T00:00:00.000000000,2020-03-18T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
2,South America,Argentina,,,,,2020-03-20T00:00:00.000000000,2020-3-19,,0,Yes,
3,,Arizona,Arizona,2020-03-16T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",",Only in counties w confirmed cases"
4,,Arkansas,Arkansas,2020-03-17T00:00:00.000000000,,,,,,0,Yes,
5,,Atlanta,Atlanta,,2020-03-19T00:00:00.000000000,,,,,0,Yes,
6,,Australia,Australia,,2020-03-23T00:00:00.000000000,,,,,0,Yes,
7,Europe,Austria,,,,,2020-03-16T00:00:00.000000000,2020-03-16,,0,Yes,
8,Europe,Belgium,,,,,2020-03-18T00:00:00.000000000,2020-03-18,,0,Yes,
9,North America,US,California,2020-03-12T00:00:00.000000000,2020-03-17T00:00:00.000000000,,2020-03-19T00:00:00.000000000,2020-3-19,,0,"Yes,Yes,Yes",",,"
10,,Canada,Canada,2020-03-15T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",",Dates are estimates as they vary by province. Looks like schools are pretty much everywhere and general restrictions 90 percent or more of country"
11,Asia,China,,2020-01-26T00:00:00.000000000,2020-01-26T00:00:00.000000000,,,,,0,"Yes,Yes",",Covered most of the country (not 100%)"
12,Asia,China,China (Hubei),,,,,2020-01-24T00:00:00.000000000,2020-02-13,0,Yes,"12 cities in Hubei. Shut down all non-essential companies, including manufacturing plants"
13,Asia,China,China (Wuhan),,,,,2020-01-23T00:00:00.000000000,,0,Yes,"all public transport, including buses, railways, flights, and ferry services would be suspended"
14,South America,Colombia,,,,,2020-03-25T00:00:00.000000000,2020-3-24,,0,Yes,
15,,Colorado,Colorado,2020-03-18T00:00:00.000000000,2020-03-01T00:00:00.000000000,2020-03-18T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
16,,Connecticut,Connecticut,2020-03-15T00:00:00.000000000,2020-03-16T00:00:00.000000000,,,,2020-03-20T00:00:00.000000000,0,"Yes,Yes,Yes",",,"
17,Europe,Czech Republic,,2020-03-13T00:00:00.000000000,2020-03-13T00:00:00.000000000,,2020-03-17T00:00:00.000000000,2020-03-16,,0,"Yes,Yes,Yes","3/18: everyone is required to cover their nose and mouth with some mask or scarf when outside.,,"
18,,Delaware,Delaware,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-23T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
19,Europe,Denmark,,2020-03-16T00:00:00.000000000,,,2020-03-16T00:00:00.000000000,2020-03-11,,0,"Yes,Yes",","
20,,El Salvador,El Salvador,,,,2020-03-12T00:00:00.000000000,,,0,Yes,
21,,Florida,Florida,2020-03-16T00:00:00.000000000,2020-03-17T00:00:00.000000000,,,,,0,"Yes,Yes",",Restrictions only partial - restaurants and bars can still have some people in"
22,Europe,France,,2020-03-16T00:00:00.000000000,,2020-03-13T00:00:00.000000000,2020-03-17T00:00:00.000000000,2020-03-17,2020-03-15T00:00:00.000000000,100,"Yes,Yes,Yes,Yes",",,,"
23,,Georgia,Georgia,2020-03-18T00:00:00.000000000,2020-03-24T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
24,Europe,Germany,,2020-03-13T00:00:00.000000000,,,2020-03-21T00:00:00.000000000,2020-03-22,,0,"No,Yes",","
25,,Hawaii,Hawaii,2020-03-13T00:00:00.000000000,2020-03-17T00:00:00.000000000,,2020-03-25T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
26,,Idaho,Idaho,2020-03-23T00:00:00.000000000,2020-03-18T00:00:00.000000000,,,,,0,"No,No","Restrictions only partial,"
27,,Illinois,Illinois,2020-03-13T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-21T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
28,Asia,India,,,,,,2020-3-24,,0,Yes,
29,,Indiana,Indiana,2020-03-15T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-23T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
30,,Iowa,Iowa,2020-03-16T00:00:00.000000000,2020-03-17T00:00:00.000000000,,,,,0,"No,No",","
31,,Iran,Iran,2020-03-05T00:00:00.000000000,,,2020-03-13T00:00:00.000000000,,,0,"Yes,Yes",",Lockdown pervasiveness/effectiveness not clear"
32,Europe,Ireland,,2020-03-13T00:00:00.000000000,,2020-03-13T00:00:00.000000000,,2020-3-24,,100,"Yes,Yes",","
33,,Israel,Israel,2020-03-12T00:00:00.000000000,2020-03-15T00:00:00.000000000,,2020-03-19T00:00:00.000000000,2020-3-17,,0,"Yes,Yes,Yes",",,"
34,Europe,Italy,,2020-03-04T00:00:00.000000000,2020-03-09T00:00:00.000000000,,2020-03-19T00:00:00.000000000,2020-03-10,2020-03-11T00:00:00.000000000,0,"Yes,Yes,Yes,Yes",",,,"
35,,Japan,Japan,2020-03-02T00:00:00.000000000,2020-02-25T00:00:00.000000000,,,,,0,"No,No",","
36,,Kansas,Kansas,2020-03-17T00:00:00.000000000,,[],,,,60,"Yes,Yes,Yes",",,"
37,,Kentucky,Kentucky,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,2020-03-19T00:00:00.000000000,,,2020-03-23T00:00:00.000000000,100,"Yes,No,Yes,No",",,No explicit number identified, just an estimate,"
38,,Kenya,Kenya,2020-03-15T00:00:00.000000000,,,,,,0,Yes,
39,,Korea,Korea,2020-02-23T00:00:00.000000000,,,,,,0,Yes,
40,,Louisiana,Louisiana,2020-03-13T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-23T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
41,,Maine,Maine,2020-03-18T00:00:00.000000000,2020-03-18T00:00:00.000000000,,,,,0,"Yes,Yes",",School closure doesn't seem mandatory but likely widespread"
42,,Malaysia,Malaysia,,,,2020-03-18T00:00:00.000000000,,,0,Yes,
43,,Mali,Mali,2020-03-17T00:00:00.000000000,,2020-03-17T00:00:00.000000000,,,,50,"Yes,Yes",","
44,,Maryland,Maryland,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,,,,2020-03-23T00:00:00.000000000,0,"Yes,Yes,Yes",",,"
45,,Massachusetts,Massachusetts,2020-03-17T00:00:00.000000000,2020-03-17T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,2020-03-24T00:00:00.000000000,0,"Yes,Yes,Yes,No",",School closure date estimated, may have been a bit earlier; Restrictions extended to 'all non-essential businesses' on 3/24,,"
46,,Michigan,Michigan,2020-03-12T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
47,,Minnesota,Minnesota,2020-03-15T00:00:00.000000000,2020-03-17T00:00:00.000000000,,,,,0,"Yes,Yes",","
48,,Mississippi,Mississippi,2020-03-18T00:00:00.000000000,,,,,,0,Yes,
49,,Missouri,Missouri,2020-03-17T00:00:00.000000000,2020-03-23T00:00:00.000000000,2020-03-23T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
50,,Montana,Montana,2020-03-15T00:00:00.000000000,2020-03-28T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
51,,Nebraska,Nebraska,2020-03-13T00:00:00.000000000,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,,,,50,"No,Yes,Yes","Place contingent depending on community transmission,Place contingent depending on community transmission,"
52,,Netherlands,Netherlands,2020-03-15T00:00:00.000000000,2020-03-15T00:00:00.000000000,2020-03-23T00:00:00.000000000,,,,3,"Yes,Yes,Yes",",,"
53,,Nevada,Nevada,2020-03-16T00:00:00.000000000,,,,,2020-03-17T00:00:00.000000000,0,"Yes,Yes",","
54,,New Hampshire,New Hampshire,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,[],,,,60,"No,Yes,Yes,Yes",",,,"
55,,New Jersey,New Jersey,2020-03-18T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-21T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
56,,New Mexico,New Mexico,2020-03-16T00:00:00.000000000,2020-03-15T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,2020-03-24T00:00:00.000000000,10,"Yes,Yes,Yes,No","Only partial restrictions (less than 50 percent of seating, tables six feet apart),,,"
57,North America,US,New York,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-21T00:00:00.000000000,2020-3-22,,0,"Yes,Yes,Yes",",,"
58,,New Zealand,New Zealand,,,,2020-03-23T00:00:00.000000000,,,0,Yes,
59,,North Carolina,North Carolina,2020-03-16T00:00:00.000000000,2020-03-17T00:00:00.000000000,2020-03-23T00:00:00.000000000,,,,50,"Yes,Yes,Yes",",,"
60,,North Dakota,North Dakota,2020-03-15T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",","
61,,Norway,Norway,2020-03-12T00:00:00.000000000,2020-03-12T00:00:00.000000000,,,,,0,"Yes,Yes","Restrictions not total (could still dine in, for instance),"
62,,Ohio,Ohio,2020-03-15T00:00:00.000000000,2020-03-15T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
63,,Oklahoma,Oklahoma,2020-03-17T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,2020-03-25T00:00:00.000000000,10,"Yes,Yes,Yes",",,Only in counies with 'community spread'"
64,,Oregon,Oregon,2020-03-15T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
65,,Paraguay,Paraguay,2020-03-10T00:00:00.000000000,,2020-03-10T00:00:00.000000000,,,,1000,"Yes,Yes",",Large scale public events"
66,,Pennsylvania,Pennsylvania,2020-03-16T00:00:00.000000000,,,2020-03-23T00:00:00.000000000,,2020-03-17T00:00:00.000000000,0,"Yes,Yes,Yes",",,Not statewide"
67,,Peru,Peru,,,,2020-03-15T00:00:00.000000000,,,0,Yes,
68,,Poland,Poland,2020-03-12T00:00:00.000000000,2020-03-12T00:00:00.000000000,,,,,500,"Yes,Yes",","
69,Europe,Portugal,,2020-03-19T00:00:00.000000000,2020-03-19T00:00:00.000000000,,,2020-03-18,,0,"Yes,Yes","Fairlly substantial restrictions,"
70,,Puerto Rico,Puerto Rico,2020-03-16T00:00:00.000000000,,,2020-03-16T00:00:00.000000000,,,0,"Yes,Yes",","
71,,Rhode Island,Rhode Island,2020-03-17T00:00:00.000000000,2020-03-17T00:00:00.000000000,,,,2020-03-23T00:00:00.000000000,35,"Yes,Yes,Yes,No,No",",,,,"
72,,Rwanda,Rwanda,,,,2020-03-21T00:00:00.000000000,,,0,Yes,
73,,San Francisco,San Francisco,,,,2020-03-17T00:00:00.000000000,,,0,Yes,
74,Africa,South Africa,,,,,2020-03-26T00:00:00.000000000,2020-03-27,,0,Yes,
75,,South Carolina,South Carolina,2020-03-14T00:00:00.000000000,2020-03-18T00:00:00.000000000,2020-03-23T00:00:00.000000000,,,,3,"Yes,Yes,No",",,"
76,,South Dakota,South Dakota,2020-03-13T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,,10,"Yes,No",","
77,Europe,Spain,,2020-03-12T00:00:00.000000000,,,2020-03-15T00:00:00.000000000,2020-03-14,,0,"Yes,Yes",","
78,,Sweden,Sweden,2020-03-17T00:00:00.000000000,,2020-03-11T00:00:00.000000000,,,,500,"Yes,No",","
79,Europe,Switzerland,,2020-03-13T00:00:00.000000000,,2020-03-20T00:00:00.000000000,,2020-3-24,2020-03-16T00:00:00.000000000,5,"Yes,Yes,Yes",",,"
80,,Taiwan,Taiwan,2020-02-02T00:00:00.000000000,,,,,,0,Yes,
81,,Tennessee,Tennessee,2020-03-16T00:00:00.000000000,2020-03-23T00:00:00.000000000,2020-03-23T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
82,,Texas,Texas,2020-03-20T00:00:00.000000000,2020-03-20T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
83,,Turkey,Turkey,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,,,,,0,"Yes,Yes",","
84,Europe,United Kingdom,,2020-03-20T00:00:00.000000000,2020-03-20T00:00:00.000000000,,2020-03-23T00:00:00.000000000,2020-03-23,,0,"Yes,Yes,Yes",",,"
85,,Utah,Utah,2020-03-16T00:00:00.000000000,2020-03-18T00:00:00.000000000,2020-03-18T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
86,,Vermont,Vermont,2020-03-18T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
87,,Vietnam,Vietnam,2020-02-12T00:00:00.000000000,,,2020-02-13T00:00:00.000000000,,,0,"Yes,Yes","Date estimated,Limited to villages with 10 k people close to caital"
88,,Virginia,Virginia,2020-03-13T00:00:00.000000000,2020-03-17T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,2020-03-24T00:00:00.000000000,10,"Yes,Yes,Yes,Yes",",Restriction on bars and restaurants not toal, limits to 10 patrons,,"
89,,Washington,Washington,2020-03-15T00:00:00.000000000,2020-03-15T00:00:00.000000000,,2020-03-23T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
90,,Washington DC,Washington DC,2020-03-16T00:00:00.000000000,2020-03-15T00:00:00.000000000,,,,,0,"Yes,Yes",","
91,,West Virginia,West Virginia,2020-03-17T00:00:00.000000000,2020-03-17T00:00:00.000000000,,2020-03-24T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
92,,Wisconsin,Wisconsin,2020-03-18T00:00:00.000000000,2020-03-17T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,2020-03-24T00:00:00.000000000,10,"Yes,Yes,Yes,Yes","Restriction strengthened to order closure of all non-essential business on 3/24,,,"
93,,Wyoming,Wyoming,2020-03-15T00:00:00.000000000,2020-03-19T00:00:00.000000000,,,,,0,"Yes,Yes",","
94,Africa,DRC,Kinshasa,,,,,2020-3-28,,0,,
95,Africa,Ivory Coast,,,,,,2020-3-23,,0,,
96,Africa,Morocco,,,,,,2020-3-23,,0,,
97,Africa,Algeria,,,,,,2020-3-28,,0,,
98,Africa,Tunisia,,,,,,2020-3-22,,0,,
99,Africa,Mauritius Islands,,,,,,2020-3-24,,0,,
100,Europe,Bulgaria,,,,,,2020-3-19,,0,,
101,Europe,Greece,,,,,,2020-3-23,,0,,
102,Europe,Italy,Lodi,,,,,2020-02-21,,0,Yes,"covering eleven municipalities of the province of Lodi in Lombardy, and affecting around 50,000 people"
103,Europe,Italy,Northen Italy,,,,,,2020-03-08,0,Yes,"affecting over sixteen million people, restricting travel from, to or within the affected areas, banning funerals and cultural events, and requiring people to keep at least one metre of distance from one another in public locations such as restaurants, churches and supermarkets"
104,Europe,Hungary,,,,,,2020-3-27,,0,Yes,
105,South America,Venezuela,,,,,,2020-3-17,,0,Yes,
106,South America,Brazil,Sao Paulo,,,,,2020-3-24,,0,Yes,
107,Middle East,Iraq,,,,,,2020-3-28,,0,Yes,
108,Middle East,Lebannon,,,,,,2020-3-15,,0,Yes,
